dictionary,key,name_en,name_pl
food_labels,Alcohol,Alcohol,Z alkoholem
food_labels,Caffeine,Caffeine,Z kofeiną
food_labels,Canned,Canned,Z puszki
food_labels,Cooked,Cooked,Gotowane
food_labels,Drained,Drained,Odsączone
food_labels,Dried,Dried,Suszone
food_labels,Dry,Dry,Suche
food_labels,Enriched,Enriched,Wzbogacone
food_labels,Fresh,Fresh,Świeże
food_labels,Frozen,Frozen,Mrożone
food_labels,Raw,Raw,Surowe
food_labels,Rinsed,Rinsed,Opłukane
food_labels,Salted,Salted,Solone
food_labels,Sweetened,Sweetened,Słodzone
food_labels,Unsalted,Unsalted,Bez soli
food_labels,Unsweetened,Unsweetened,Bez cukru
measure_units,1/3_pretzel,1/3 pretzel,1/3 precla
measure_units,1/6_bar,1/6 bar,1/6 tabliczki
measure_units,6-piece,6-piece,porcja 6 sztuk
measure_units,a,a,sztuka
measure_units,abr,abr,baton
measure_units,affogato,affogato,affogato
measure_units,almond,almond,migdał
measure_units,almondmilk,almondmilk,napój migdałowy
measure_units,anchovies,anchovies,sardela
measure_units,anchovy_fillet,anchovy fillet,filet z anchois
measure_units,appetizer,appetizer,przekąska
measure_units,apple,apple,jabłko
measure_units,apricot,apricot,morela
measure_units,apricots,apricots,morela
measure_units,arepa,arepa,arepa
measure_units,assorted,assorted,praliny asortowane
measure_units,attayef,attayef,atajef
measure_units,average,average,średnia sztuka
measure_units,avocado,avocado,awokado
measure_units,bacon_biscuit,bacon biscuit,bułka z bekonem
measure_units,bag,bag,torba
measure_units,bag_unpopped,bag unpopped,torebka nieprażonego
measure_units,bagel,bagel,bajgiel
measure_units,baguette,baguette,bagietka
measure_units,baked,baked,upieczona sztuka
measure_units,baleada,baleada,baleada
measure_units,ball,ball,kulka
measure_units,bammy,bammy,bammy
measure_units,banana,banana,banan
measure_units,banana_split,banana split,banana split
measure_units,bar,bar,baton
measure_units,bars,bars,batonik
measure_units,basket,basket,koszyk
measure_units,bean,bean,laska
measure_units,bear,bear,niedźwiedzia łapa
measure_units,beefsteak_tomato,beefsteak tomato,pomidor bawole serce
measure_units,beet,beet,burak
measure_units,beignet,beignet,beignet
measure_units,berrie,berrie,jagoda
measure_units,berries,berries,jagody
measure_units,berry,berry,jagoda
measure_units,biscotti,biscotti,biscotti
measure_units,biscuit,biscuit,herbatnik
measure_units,biscuit_half,biscuit half,połówka bułeczki
measure_units,biscuit_sandwich,biscuit sandwich,kanapka na biszkopcie
measure_units,biscuit_sandwiches,biscuit sandwiches,kanapka na bułce
measure_units,biscuit_with_gravy,biscuit with gravy,bułka z sosem
measure_units,biscuits,biscuits,herbatnik
measure_units,bite,bite,kęs
measure_units,blintz,blintz,blintz
measure_units,blintze,blintze,blintz
measure_units,block,block,kostka
measure_units,blocks,blocks,kostka
measure_units,blossom,blossom,kwiat
measure_units,board,board,deska
measure_units,bolani,bolani,bolani
measure_units,bomb,bomb,kula
measure_units,bottle,bottle,butelka
measure_units,bottles,bottles,butelka
measure_units,boule,boule,bochenek
measure_units,bowl,bowl,miska
measure_units,box,box,pudełko
measure_units,bread,bread,chleb
measure_units,breadstick,breadstick,paluszek chlebowy
measure_units,breast,breast,pierś
measure_units,brioche,brioche,brioszka
measure_units,briouat,briouat,briouat
measure_units,broiled,broiled,kiełbaska
measure_units,brownie,brownie,brownie
measure_units,brownie_pan,brownie pan,forma brownie
measure_units,brownies,brownies,brownie
measure_units,brussel,brussel,brukselka
measure_units,bucket,bucket,wiaderko
measure_units,bun,bun,bułeczka
measure_units,bundle,bundle,pęczek
measure_units,bundt,bundt,babka
measure_units,bunnie,bunnie,zajączek
measure_units,bunny,bunny,zajączek
measure_units,bunny_chow,bunny chow,bunny chow
measure_units,burger,burger,burger
measure_units,burrito,burrito,burrito
measure_units,cachapa,cachapa,cachapa
measure_units,cake,cake,wafel
measure_units,cake_cup,cake cup,wafelek
measure_units,cakes,cakes,wafle
measure_units,calzone,calzone,calzone
measure_units,can,can,puszka
measure_units,can_drained,can drained,puszka odsączona
measure_units,candie,candie,cukierek
measure_units,candy,candy,cukierek
measure_units,cane,cane,laska
measure_units,cannoli,cannoli,cannoli
measure_units,cap,cap,nakrętka
measure_units,carrot,carrot,marchewka
measure_units,carton,carton,karton
measure_units,casserole,casserole,zapiekanka
measure_units,cat,cat,kotek
measure_units,chalupa,chalupa,chalupa
measure_units,chapati,chapati,chapati
measure_units,cheese,cheese,ser
measure_units,cheesecake,cheesecake,sernik
measure_units,cherries,cherries,czereśnia
measure_units,cherry,cherry,wiśnia
measure_units,chick,chick,kurczaczek
measure_units,chicken,chicken,kurczak
measure_units,chicken_breast,chicken breast,pierś z kurczaka
measure_units,chicken_leg,chicken leg,udko z kurczaka
measure_units,chicks,chicks,kurczaczek
measure_units,chile,chile,papryczka chili
measure_units,chile_relleno,chile relleno,chile relleno
measure_units,chili_peppers,chili peppers,papryczka chili
measure_units,chimichanga,chimichanga,chimichanga
measure_units,chip,chip,chips
measure_units,chips,chips,chipsy
measure_units,chocolate,chocolate,czekoladka
measure_units,chop,chop,kotlet
measure_units,chorreada,chorreada,chorreada
measure_units,churro,churro,churro
measure_units,churros,churros,churro
measure_units,cigar,cigar,cygaro
measure_units,cinnamon,cinnamon,bułeczka cynamonowa
measure_units,clam,clam,małż
measure_units,clay_pot,clay pot,gliniany garnek
measure_units,clove,clove,ząbek
measure_units,cluster,cluster,kluska
measure_units,cobbler,cobbler,kruszonka
measure_units,cocktail,cocktail,koktajl
measure_units,conatiner,conatiner,pojemnik
measure_units,concha,concha,concha
measure_units,cone,cone,rożek
measure_units,container,container,pojemnik
measure_units,cooked,cooked,porcja ugotowana
measure_units,cooked_patties,cooked patties,usmażony kotlecik
measure_units,cooked_slices,cooked slices,usmażony plaster
measure_units,cookie,cookie,ciastko
measure_units,cookies,cookies,ciastko
measure_units,corn,corn,kolba
measure_units,corn_dog,corn dog,corn dog
measure_units,cornbread,cornbread,chleb kukurydziany
measure_units,count,count,sztuka
measure_units,covrig,covrig,obwarzanek
measure_units,crab,crab,krokiet krabowy
measure_units,cracker,cracker,krakers
measure_units,crackers,crackers,krakers
measure_units,cream,cream,ptyś
measure_units,cream_puff,cream puff,ptyś
measure_units,creamer,creamer,śmietanka
measure_units,crepe,crepe,naleśnik
measure_units,crepes,crepes,naleśnik
measure_units,crescent,crescent,rogalik
measure_units,crisp,crisp,chipsy
measure_units,crispbread,crispbread,pieczywo chrupkie
measure_units,crisps,crisps,chipsy
measure_units,crock,crock,kokilka
measure_units,croissant,croissant,rogalik
measure_units,croquette,croquette,krokiet
