open_nutrition_id,problem,field,value_before,value_after,applied_by,applied_on
fd_3sNl4C3kmFfZ,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_5hPqZ4gLxVcN,ref_unit_not_measurable,ref_unit,iu,ml,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_6BR4bJqIZkS0,ref_unit_not_measurable,ref_unit,iu,ml,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_7ADYAnUO8yex,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_AdLXe9R7gTu9,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_B7t8UBc57fkl,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_CTEC96aZWPkX,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_D7oLPiT96vp5,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_FnQudTcTVljS,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_KC7rjVoRx9uJ,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_NUJnvBxQ7Bht,ref_unit_not_measurable,ref_unit,iu,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_OYRf4ywaCpoP,ref_unit_not_measurable,ref_unit,iu,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_PO47SdQP6P7c,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_RoWziVz6B9iX,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_UsvwHVYzPX5g,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_UxWNvco9v1WK,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_VtZTVmWiTZI6,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_WR5q837FdXvw,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_WojPQ6VfnWBF,ref_unit_not_measurable,ref_unit,iu,ml,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_XwybwvtgGRop,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_Yb5h1CHQMnrQ,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_aH2Fiqo9k8KH,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_aIFNdvhks4Xy,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_eOdEQiym9mcT,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_evRC1SRuZkix,ref_unit_not_measurable,ref_unit,iu,ml,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_gKizLRTV9MZO,ref_unit_not_measurable,ref_unit,iu,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_imMjql5lYzw3,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_lk0LEnJkDnsx,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_nVllGjqkCt0b,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_o9VXVGOqnwnY,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_sGUuaQnkn5Ja,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_t76Q9BPfMUa8,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_tB35pNG44532,ref_unit_not_measurable,ref_unit,iu,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_vVmM5zhIBy12,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_vVujOz0icxov,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_wO83uFefgtjH,ref_unit_not_measurable,ref_unit,iu,ml,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_wm4l6oShWtEi,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_yRPAKMUzKzQ1,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_yjdTAhsi5cDt,ref_unit_not_measurable,ref_unit,mg,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
fd_yqC8Ok5oOxYA,ref_unit_not_measurable,ref_unit,iu,g,050_fix_mislabelled_food_ref_units.sql,2026-09-01
