open_nutrition_id,icon_key
fd_00FTvX3r8tKE,cornmeal
fd_00LZf08Xoph6,ham
fd_02gcnSs1cZXm,date
fd_02ruXGtQjxvK,green_bell_pepper
fd_047cqGnuxFhU,ketchup
fd_06qHK6T6urjr,pie_filling
fd_086LCX4Fayi2,onion
fd_09txvpkpHTuM,bacon
fd_0AMkGrRinXwm,hash_brown
fd_0D5CHaD4PYqA,sausage
fd_0EbFmditmmH6,bean
fd_0MdoXWwcd9nj,mandarin_orange
fd_0N7XCjKTFQwr,cracker
fd_0NrRUl5wcKNj,mustard
fd_0QPcMyTZPUwY,shrimp
fd_0RCyHTRp7SSn,bread
fd_0ShJ9qwuYMWw,sugar
fd_0TTWYlBysLZT,sausage
fd_0WopvSWYhzjL,milk
fd_0ZDKuPlvKWy8,ground_beef
fd_0ZIAjQvjEp5w,green_bean
fd_0fYiVZtYZmN7,bread
fd_0gNxFFqSddlo,beef
fd_0h9jWmdeLipI,potato
fd_0hRDUhvJq8hb,cracker
fd_0htQChtc31AC,cereal
fd_0ilthkiz5i17,cracker
fd_0kaguZmF3O25,milk
fd_0mJcGDG2eKzR,mushroom
fd_0oYXEv77w53U,cracker
fd_0uy2Jg0DOJt7,honey
fd_0xwdL4nEM7aF,orange
fd_11dLWUGRVXt5,cracker
fd_17wCpl39dgVE,pudding
fd_18U25pvfbDJU,peanut_butter
fd_18UZlRj2KOAR,dill_weed
fd_1Fwy61wXjfrR,curry_powder
fd_1K4q7UKTuxhh,noodle
fd_1Kg6alz1jmjH,spinach
fd_1Ou2RfjZi6aX,granola
fd_1UqyS0llUvJW,soy_sauce
fd_1Z4JY7cRs9Bg,soda_drink
fd_1Zr72Lun8xsL,processed_cheese
fd_1rOsIOLHQwlC,cauliflower
fd_1y7TtELqPDz3,chocolate
fd_1zN41TnqxMW5,white_wine
fd_1zXIpvtPorYw,chocolate_chip
fd_21F9VQM4IXn5,chocolate_chip
fd_22oUIEBLsbbB,pie_filling
fd_24fQTCwokt8X,cod
fd_2GBCJd57GMLh,lemon
fd_2NGGsBFXd6A0,mandarin_orange
fd_2R6HBBGjSISt,spinach
fd_2dObzdqa6o2J,chicken_breast
fd_2fmp1mUUywrh,onion
fd_2fxDeqM0A8Cf,oat
fd_2mw71BXil7GD,flour
fd_2ny0HQgPVu6T,sausage
fd_2q32OAL2fY95,mandarin_orange
fd_2rKFmh6hZYjQ,pineapple
fd_2tYErgVPvWuY,crab_meat
fd_2xVQJ14Xckwc,beef
fd_2zBN72jUkyJY,sour_cream
fd_37drUKz7yory,oat
fd_38w37dNvk8IS,salad_dressing
fd_39RC6fy1zCkJ,parmesan_cheese
fd_39vVu5kP0hwI,curry_powder
fd_39xtF5ow9rFq,oat
fd_3C8IBrawONJv,cornmeal
fd_3E5jVXRRbEOU,brown_sugar
fd_3GtUgBW5L3xx,sausage
fd_3RxPihK6XlQ2,pineapple
fd_3T06FdjvjXe5,cake_mix
fd_3X4K3gg7PjRB,orange
fd_3YI0t2IPPqx4,shrimp
fd_3aHctPNX2PvW,worcestershire_sauce
fd_3bAE8Gix6hgN,flour
fd_3hp8Lq8K9SI3,carrot
fd_3sZJGM998fD8,oat
fd_3y4V5CBw8xLi,chia_seeds
fd_43vN8R5g8PpB,whipped_cream
fd_4B5krdgSvZXg,banana
fd_4GLE8NJrsM12,soy_sauce
fd_4IHoC0M3TP9H,sausage
fd_4KzXfE6m5pqV,nuts
fd_4SGXiqRZfKeH,rice
fd_4TJOZawq9DSL,milk
fd_4VKBH5UlnrgU,cornmeal
fd_4Z4b20cbvmSp,soy_sauce
fd_4bGW0msQhtON,bean
fd_4bvXpgdKkqIH,shrimp
fd_4eUjpYJJzbAF,coconut_milk
fd_4f7XhUD66XKz,extract
fd_4gztIqu9m7kL,apple
fd_4s7MZurdCtcq,flour
fd_4yLd0mg3ppKl,cumin
