open_nutrition_id,name_pl,alternate_names_pl
fd_00F7EH1dU0ld,Tamal de pollo,"[""tamales z kurczakiem"", ""salwadorskie tamale"", ""tamal z kurczakiem""]"
fd_00FJAVgwCtrS,Makrela panierowana,"[""smażona makrela w panierce"", ""makrela w panierce"", ""panierowana ryba""]"
fd_00FTvX3r8tKE,"Kasza kukurydziana grits z masłem, gotowana","[""grits"", ""kaszka kukurydziana z masłem"", ""kasza kukurydziana gotowana""]"
fd_00LZf08Xoph6,Szynka,"[""szynka gotowana"", ""wędlina"", ""szynka w plastrach""]"
fd_00pjOw3AVVUs,Omlet z mielonką wieprzową,"[""omlet z mielonką"", ""jajka z mielonką""]"
fd_02JhSJ6PA4XM,Sałatka z kurczakiem w sosie curry,"[""sałatka z kurczakiem curry"", ""pasta z kurczaka curry""]"
fd_02gcnSs1cZXm,"Daktyle Medjool, bez pestek","[""daktyle"", ""daktyle drylowane"", ""suszone daktyle""]"
fd_02ruXGtQjxvK,Papryka zielona,"[""zielona papryka"", ""papryki zielone"", ""papryka słodka zielona""]"
fd_04089CVKEz0q,Sałatka z falafelem,"[""falafel na sałacie"", ""sałatka z kotlecikami z ciecierzycy"", ""bowl z falafelem""]"
fd_042gYAeQbF5k,Zupa z gruszek na parze,"[""chińska zupa gruszkowa"", ""deser z gruszek"", ""słodka zupa gruszkowa""]"
fd_047cqGnuxFhU,Ketchup bez dodatku soli,"[""ketchup niesolony"", ""ketchup bez soli""]"
fd_04l0ylcMuv4r,Jajeek,"[""iracki sos jogurtowy z ogórkiem"", ""jogurt z ogórkiem i miętą"", ""jajik""]"
fd_04snMFg6XPpc,Fasolka szparagowa żółta,"[""fasolka żółta"", ""żółta szparagowa"", ""fasola woskowa""]"
fd_05CDDmjojwye,Kurczak z goframi,"[""smażony kurczak z goframi"", ""gofry z kurczakiem""]"
fd_05OwUXdYTWQf,Napój z hibiskusa,"[""napój sorrel"", ""herbata z hibiskusa"", ""karaibski napój z kwiatów hibiskusa""]"
fd_05ZxVrEnuZgo,Korzeń lotosu,"[""kłącze lotosu"", ""lotos korzeń"", ""renkon""]"
fd_05aGAaeFhqPk,Bekon z jajkami,"[""jajka z boczkiem"", ""jajecznica z bekonem"", ""bekon i jajka""]"
fd_0684L97aGpe0,Khao soi,"[""tajska zupa curry z makaronem"", ""makaron curry z chiang mai"", ""kao soi""]"
fd_06U2BLgzDEjR,Po' boy wegetariański,"[""kanapka wegetariańska po boy"", ""bagietka z tofu"", ""po boy bezmięsny""]"
fd_06U7Ne7M7fKZ,Kulen,"[""kiełbasa kulen"", ""bałkańska kiełbasa z papryką"", ""slawońska kiełbasa""]"
fd_06pTJOpv23tR,Toffi,"[""cukierki toffi"", ""krówki toffi"", ""karmelki toffi""]"
fd_06qHK6T6urjr,Nadzienie do ciasta z rabarbaru,"[""masa rabarbarowa"", ""rabarbar do ciasta"", ""słodzony rabarbar""]"
fd_073j9MOeoJ4r,Komosa ryżowa czarna,"[""czarna quinoa"", ""kinoa czarna"", ""komosa czarna""]"
fd_07KLlapZN1Cb,Sałatka cezar z krewetkami,"[""cezar z krewetkami"", ""sałatka cezar owoce morza""]"
fd_07jITWcpqXVR,Dip jogurtowy czosnkowo-ziołowy,"[""sos jogurtowy czosnkowy"", ""dip czosnkowy"", ""sos czosnkowo-ziołowy""]"
fd_086LCX4Fayi2,Cebula słodka,"[""cebula biała słodka"", ""cebula łagodna"", ""cebula""]"
fd_08DX63ouwfpt,Shish taouk,"[""szisz tawuk"", ""kurczak z rożna po libańsku"", ""szaszłyk z kurczaka""]"
fd_08MMkX7lMjdc,Chimichanga z wołowiną,"[""smażone burrito"", ""chimichanga wołowa"", ""chimichanga""]"
fd_08uBZ2d0GVO2,Ugli,"[""tangelo jamajskie"", ""owoc ugli"", ""cytrus ugli""]"
fd_09txvpkpHTuM,Boczek z kaczki,"[""bekon z kaczki"", ""wędzona pierś z kaczki"", ""kacze plasterki wędzone""]"
fd_0ACnX9rz4QPT,Sałatka domowa,"[""sałatka z kurczakiem i szynką"", ""sałatka mieszana"", ""sałatka do dania głównego""]"
fd_0AEBSvxqve8y,Batoniki owocowe słodzone,"[""batony owocowe"", ""batoniki z owocami"", ""przekąska owocowa w batonie""]"
fd_0AMkGrRinXwm,"Placki ziemniaczane, mrożone","[""mrożone placki ziemniaczane"", ""hash browns"", ""ziemniaki tarte mrożone""]"
fd_0AcX08eYviwu,Awokado,"[""awokado świeże"", ""owoc awokado"", ""smaczliwka""]"
fd_0B1gnA8ByBR1,Kwiaty cukinii faszerowane serem kozim,"[""faszerowane kwiaty cukinii"", ""kwiaty dyni z serem kozim"", ""nadziewane kwiaty cukinii""]"
fd_0B3dwoYS0buo,Fondue z ciemnej czekolady z miętą,"[""czekoladowe fondue miętowe"", ""fondue miętowo-czekoladowe"", ""fondue z gorzkiej czekolady""]"
fd_0BAMnhxNJjbF,Aloo gosht,"[""curry z baraniną i ziemniakami"", ""pakistańskie curry mięsne"", ""aloo ghost""]"
fd_0BEs1PH8nKTU,Cannelloni,"[""makaron cannelloni"", ""rurki cannelloni"", ""kanelonii""]"
fd_0BkGREfwdCNb,"Amur biały, surowy","[""amur"", ""ryba amur"", ""amur surowy""]"
fd_0D5CHaD4PYqA,Kiełbasa andouille,"[""andouille"", ""kiełbasa cajun"", ""kiełbasa wędzona andouille""]"
fd_0DLWsjFq9kXp,Pasta z daktyli Medjool,"[""pasta daktylowa"", ""przecier daktylowy"", ""daktyle medjool pasta""]"
fd_0DLbQixzbt8Y,Klops,"[""pieczeń rzymska"", ""klops z mięsa mielonego"", ""meatloaf""]"
fd_0DMH6eBBGHyI,Koktajl mango,"[""smoothie z mango"", ""shake mango"", ""napój z mango""]"
fd_0Dt5DDdDfM3F,Penne all'arrabbiata,"[""penne arrabbiata"", ""makaron w ostrym sosie pomidorowym"", ""penne pikantne""]"
fd_0EbFmditmmH6,"Fasola limeńska z puszki, odsączona","[""fasola limeńska konserwowa"", ""fasola księżycowa z puszki"", ""fasolka limeńska""]"
fd_0EiBSues0toi,Pršut i sir,"[""chorwacka szynka z serem"", ""deska z szynką dojrzewającą i serem""]"
fd_0Es5zOjPR4cu,Pho tai z surową wołowiną,"[""pho bo"", ""wietnamska zupa z wołowiną"", ""pho z wołowiną"", ""pho tai""]"
fd_0EyWmcOvWEcJ,Dawood basha,"[""libańskie klopsiki w sosie pomidorowym"", ""klopsiki libańskie"", ""daoud basha""]"
fd_0FM13lr2aXGo,Cydr gruszkowy,"[""perry"", ""gruszecznik"", ""wino z gruszek""]"
fd_0FXE1qGxGV0r,Ladoo,"[""laddu"", ""indyjskie kulki słodkie"", ""laddoo""]"
fd_0FjnQtEUlZ3G,Pão de queijo,"[""brazylijskie bułeczki serowe"", ""bułeczki serowe z tapioki""]"
fd_0GbnP1QEmeCN,Ser Pont-l’Évêque,"[""pont l'eveque"", ""ser pleśniowy francuski"", ""ser francuski""]"
fd_0HCEM2jQFAMR,Kjøttkaker,"[""norweskie kotlety mięsne"", ""klopsy norweskie"", ""kjottkaker""]"
fd_0HGWkkQxTKW6,Ciasto red velvet,"[""czerwone ciasto""]"
fd_0HfIGQw4OVXo,Marchewka w słupkach,"[""słupki marchewki"", ""marchewka baby"", ""marchew pokrojona""]"
fd_0HoCK4EkCeXY,Deserek dla niemowląt bataty ze szpinakiem,"[""mus batat szpinak dla dzieci"", ""obiadek dla niemowląt ze szpinakiem"", ""przecier z batatów i szpinaku""]"
fd_0HtznnTdOwCv,Kanapka z kiełbasą,"[""hot dog z kiełbasą"", ""bułka z kiełbasą"", ""kanapka z wędzoną kiełbasą""]"
fd_0Ix9k7Kyx8Nf,Bajgiel wielozbożowy z rodzynkami,"[""bajgiel z rodzynkami"", ""obwarzanek wielozbożowy z rodzynkami"", ""bajgiel pełnoziarnisty z rodzynkami""]"
fd_0JfJdMJkNxwB,Makaron z cukinii z pesto,"[""spaghetti z cukinii"", ""cukinia spiralna z pesto"", ""zoodles z pesto""]"
fd_0Jm9EEgRFsvz,Machbous z jagnięciną,"[""machbus"", ""ryż z jagnięciną po katarsku"", ""majboos""]"
fd_0KiQaksOD7ki,Wegański makaron z sosem serowym,"[""makaron serowy wegański"", ""makaron z wegańskim serem""]"
fd_0KpgfEjs2ei5,Fish and chips z dorszem,"[""dorsz z frytkami"", ""ryba z frytkami"", ""dorsz w cieście""]"
fd_0M4hpFXfjzeN,Bułki kajzerki,"[""kajzerka"", ""bułka kajzerka"", ""bułki pszenne""]"
fd_0MYqNA7wqFCp,Kajmak,"[""kaymak"", ""serbski krem mleczny"", ""pasta kajmak""]"
fd_0MZkp0iw66qp,Nam prik pao,"[""tajska pasta chili"", ""pasta chili"", ""pasta z papryczek chili""]"
fd_0MaV0wph09CQ,Szparagi,"[""szparagi zielone"", ""szparag"", ""szparagi świeże""]"
