open_nutrition_id,shopping_category
fd_000mIq7HUpEn,nuts_seeds_dried_fruit
fd_003TG7G12nOX,canned_jarred
fd_004WiBI4gIJ7,snacks
fd_004dX3B0M8by,frozen
fd_008ANGZ5nVqI,spices_seasonings
fd_008UEMlLddaM,dairy_eggs
fd_00BxtAoSITOi,snacks
fd_00C1GLHYwOpO,canned_jarred
fd_00CBZGhItmxa,fish_seafood
fd_00DOdhA0HZZu,supplements
fd_00Ef4p2W50Un,plant_based
fd_00EnNNVXqHV5,snacks
fd_00EudycbT9CV,dairy_eggs
fd_00F7EH1dU0ld,ready_meals
fd_00FJAVgwCtrS,other
fd_00FTvX3r8tKE,breakfast_spreads
fd_00G5eO7vJaE7,other
fd_00G7M4T5sGlc,canned_jarred
fd_00G7SBJufAU1,canned_jarred
fd_00H2CCk4XPGt,ready_meals
fd_00IVreZ3V0Wt,beverages
fd_00LKH1uqSki8,breakfast_spreads
fd_00LZf08Xoph6,deli_cold_cuts
fd_00MW7D5NxSLv,nuts_seeds_dried_fruit
fd_00NTXASV0ML5,baking
fd_00O7Qg6l38mN,sweets
fd_00OoRw2GGRKP,beverages
fd_00PUhAYs6qyH,beverages
fd_00PzU4S2DtCX,beverages
fd_00QqN7kHslXH,sweets
fd_00QrA2U4oAzA,snacks
fd_00TTEVtniz8n,baking
fd_00UqvKKfuQ99,canned_jarred
fd_00VJAZPPO1fx,pasta_rice_grains
fd_00Vdws1aPx32,beverages
fd_00Vne7kcfDcr,baking
fd_00W87XIeYo3i,baking
fd_00WnxnwAGs6N,sweets
fd_00YaLjh8LdhX,sweets
fd_00b1jGDXeEeB,sweets
fd_00cAoS8Z9xac,nuts_seeds_dried_fruit
fd_00d9R0EFsCh7,nuts_seeds_dried_fruit
fd_00eOngRf8Fn2,dairy_eggs
fd_00fgHUmTSyXw,ready_meals
fd_00flZzeCoGCW,dairy_eggs
fd_00gJD997JIlo,breakfast_spreads
fd_00gzI01EpTC0,meat_poultry
fd_00hqY2Px1QSD,spices_seasonings
fd_00jPkXfX2WYv,fruits_vegetables
fd_00jpZYB3VPYC,ready_meals
fd_00kKbWs4r3Jj,coffee_tea
fd_00l9xYIclLLa,oils_sauces_condiments
fd_00lqoRwhUh1l,canned_jarred
fd_00macSUCR6Ue,nuts_seeds_dried_fruit
fd_00mldOxR8sWf,oils_sauces_condiments
fd_00pjOw3AVVUs,bread_bakery
fd_00qQ39JKb6iN,snacks
fd_00rrKYqNFO2c,fish_seafood
fd_00sCNJ5XtdSD,dairy_eggs
fd_00tDSi3VZOHs,bread_bakery
fd_00tkP1pLlJjo,canned_jarred
fd_00tlzex3bktL,beverages
fd_00vPqnFzLjy9,sweets
fd_00vXoyTV6ZhZ,frozen
fd_00wtwtxeuSFJ,ready_meals
fd_00xIS9UMPUQ0,baking
fd_00ygHHcXPyi3,dairy_eggs
fd_00ymHAnCgae8,beverages
fd_00zCbR2QBDb8,ready_meals
fd_00zILsF7aPIU,dairy_eggs
fd_010AQ1CuISkd,sweets
fd_010CyY67eRrl,bread_bakery
fd_011LGEVKmqrZ,frozen
fd_011OoLkWJQGM,nuts_seeds_dried_fruit
fd_012eJ0rLPqHL,bread_bakery
fd_012ziXjUhvBR,dairy_eggs
fd_01341OGzTGHQ,beverages
fd_014pZgRNSoMk,snacks
fd_014vzqSs4Wdy,oils_sauces_condiments
fd_014z1VycS5fV,beverages
fd_015KspJAe1bz,fish_seafood
fd_015W0kZA97zB,snacks
fd_0163qkWqZN8v,dairy_eggs
fd_016DRMRKV07o,fish_seafood
fd_018LasQIigkO,canned_jarred
fd_018PkSnv9ZAe,snacks
fd_018jhKpgpWQa,sweets
fd_019B9AQSR1RG,pasta_rice_grains
fd_019vKqFfPd7y,baking
fd_01DBtD53EHba,meat_poultry
fd_01ERKcTAVsxD,ready_meals
fd_01Gq9RZg84Dt,oils_sauces_condiments
fd_01HhLh2RKpuC,snacks
fd_01IMqX9jdLGA,fish_seafood
fd_01IUSylHqdDZ,dairy_eggs
fd_01LoTDgAB1Vj,oils_sauces_condiments
fd_01LzMAZcup6k,sweets
fd_01OIzgrADbuj,snacks
fd_01RWIGSgknVT,canned_jarred
fd_01V9HIKAfea9,dairy_eggs
fd_01VFsL6YQOyj,canned_jarred
fd_01VMldGHmXBb,ready_meals
fd_01VcwUVgHMcF,oils_sauces_condiments
fd_01WwQLc3DbVn,sweets
fd_01WxOMaViSqF,nuts_seeds_dried_fruit
fd_01X9q3dUXAOr,canned_jarred
fd_01XM8Dvie5t0,coffee_tea
fd_01ZL5kvUWe8I,frozen
fd_01aJNT5DIguA,fruits_vegetables
fd_01aWz1eoDBFS,oils_sauces_condiments
fd_01ahIsvhfAFt,breakfast_spreads
fd_01bMLghuMPlE,sweets
fd_01buQ4gcZEeM,canned_jarred
fd_01cEMUhTFcyL,snacks
fd_01d9BNZx8jNg,snacks
fd_01dt1uYEhr87,dairy_eggs
fd_01dzPKFjr0YX,canned_jarred
fd_01gBy5gDXQ5A,deli_cold_cuts
fd_01h6bjWFJxpx,ready_meals
fd_01h8fnMppiUH,breakfast_spreads
fd_01i7oQ2dZdNA,ready_meals
fd_01iKXjdhEYhw,beverages
fd_01kGuOqDmnS3,beverages
fd_01lh5RPtcehC,canned_jarred
fd_01lnlWP8qhtA,bread_bakery
fd_01lqHrKhnzqp,frozen
fd_01mw5lzE1Jmb,spices_seasonings
fd_01nCbdmfVKNJ,dairy_eggs
fd_01nlq1hBY8aA,sweets
fd_01o1GBncNHy0,other
fd_01p3zP2bHnE7,deli_cold_cuts
fd_01qZ1yx163xx,frozen
fd_01rR59mTqkjD,ready_meals
fd_01s9CzymJkP4,bread_bakery
fd_01sSadvl4qJv,beverages
fd_01sqlxX4cNGm,snacks
fd_01u8AGLvffY0,baking
fd_01uC2LH4QaIP,dairy_eggs
fd_01uubeGpg01J,supplements
fd_01wF5OIvsKBe,snacks
fd_01xLyBETftE6,oils_sauces_condiments
fd_01xdhTcwOQ4P,frozen
fd_01yq95GxQlSX,oils_sauces_condiments
fd_01ysZN8f4akm,deli_cold_cuts
fd_021EpblxpVyy,pasta_rice_grains
fd_023DDV9ha0DS,sweets
fd_024CLPLYWAdF,dairy_eggs
fd_0263v7nWIQLH,sweets
fd_026PDRaMLvMC,dairy_eggs
fd_026kC4qe7pEZ,pasta_rice_grains
fd_02795Z3B6CFa,canned_jarred
fd_02816TLEjoEe,dairy_eggs
fd_029v1mISgRQc,nuts_seeds_dried_fruit
fd_02B1mH6sTSKQ,baking
fd_02CX5d01BrnK,frozen
fd_02D8mORsI52n,sweets
fd_02DMTVxiG0rJ,snacks
fd_02EKJwncNQ0n,snacks
fd_02EetBIzvZbf,sweets
fd_02HLn2SDscfs,nuts_seeds_dried_fruit
fd_02IItMbbmdnn,other
fd_02JhSJ6PA4XM,ready_meals
fd_02K0jxc8jCQZ,supplements
fd_02KYU5OiWirA,dairy_eggs
fd_02LaCK1VCtg5,snacks
fd_02Lm1F3LH6nB,sweets
fd_02Mw1fuSiSzD,snacks
fd_02N2i97P8Q2s,sweets
fd_02Oguf0MU9KO,sweets
fd_02PR2bnptYBS,beverages
fd_02QTTt9fS5Mq,baking
fd_02QwpPaJ1kI9,sweets
fd_02Ra4EO7OFM4,frozen
fd_02U4befiSFp7,canned_jarred
fd_02U8ddGA01Zh,other
fd_02VqSYlRRH1Y,breakfast_spreads
fd_02WOjdUi94Nn,snacks
fd_02WSJCuDQ8do,beverages
fd_02Xf8POBCr0B,canned_jarred
fd_02XhyOlJ6pK1,oils_sauces_condiments
fd_02Y8QpfFgciT,baking
fd_02YVQyISKXjk,bread_bakery
fd_02Yx3wT3BNLP,dairy_eggs
fd_02Z4BP5Ds3UR,nuts_seeds_dried_fruit
fd_02ZZ3VS2Wo6q,beverages
fd_02a0gcl7I5Od,spices_seasonings
fd_02aTRzyKrdB9,dairy_eggs
fd_02c36NkOsZO7,deli_cold_cuts
fd_02dB4lWeByYI,pasta_rice_grains
fd_02dx3oacM1eG,dairy_eggs
fd_02f1B9vETBup,breakfast_spreads
fd_02f1VVCZ39wI,spices_seasonings
fd_02g0CS549ANb,snacks
fd_02gUWPafuE7L,dairy_eggs
fd_02gcnSs1cZXm,nuts_seeds_dried_fruit
fd_02hXNnhGTKLE,sweets
fd_02idYxI0xggs,bread_bakery
fd_02jolzTmw8BX,other
fd_02kfFyc6f2Fh,oils_sauces_condiments
fd_02kv0XhzWKvx,breakfast_spreads
fd_02l39UEhxNPR,plant_based
fd_02lVKdnEqJJ6,nuts_seeds_dried_fruit
fd_02mqooJlJzGa,canned_jarred
fd_02mxcg1rQJHw,canned_jarred
fd_02oxNg9JDcZQ,meat_poultry
fd_02p34JOoCbi2,dairy_eggs
fd_02rtoTFel0k1,frozen
fd_02ruXGtQjxvK,fruits_vegetables
fd_02seKcPjK0Bo,baking
fd_02tnRcusKZXD,baking
fd_02vG7OSQyUrx,baking
fd_02xiOXy32UW0,nuts_seeds_dried_fruit
fd_02yPVdzfDCqu,plant_based
fd_02zfvcU3DS9R,pasta_rice_grains
fd_032B0e00FDUt,oils_sauces_condiments
fd_033VaH0xO209,fruits_vegetables
fd_033Woddfl475,breakfast_spreads
fd_0346uBjtm1Dz,pasta_rice_grains
fd_034DzRU7wuk1,beverages
fd_035PN3B4r2Jj,beverages
fd_035hQFpiubzU,canned_jarred
fd_037HdEzfGqfg,dairy_eggs
fd_038QWGWhYwxW,sweets
fd_03939EhqbMAU,frozen
fd_039T7iW0Kuhp,pasta_rice_grains
fd_03AlRSwZcbN6,bread_bakery
fd_03B4QBIgS2mr,dairy_eggs
fd_03CTzSwaL0hA,baking
fd_03CkkHJ9kO1Q,bread_bakery
fd_03DRR5x92AzS,snacks
fd_03DrzybIEfQx,plant_based
fd_03GTBveH5kt6,snacks
fd_03H5AnWgcaPt,snacks
fd_03HjE2FLY9NM,beverages
fd_03Hlc8HMoxPY,dairy_eggs
fd_03I3XCHRvsaB,snacks
fd_03JLOl1U14d9,ready_meals
fd_03JQbz0H3IS4,oils_sauces_condiments
fd_03JfIU6643wQ,canned_jarred
fd_03L0V5gRHH7v,snacks
fd_03MDCy5qHwKt,snacks
fd_03Nqu2k2aL2K,fish_seafood
fd_03OZxIFKZSHO,dairy_eggs
fd_03PUO1w8d5qa,dairy_eggs
fd_03PtJk4jspyB,fruits_vegetables
fd_03QXUuNZGMkd,canned_jarred
fd_03RDEj8R5gRs,bread_bakery
fd_03RFPPaTrAGt,sweets
fd_03SgIYwUwySA,sweets
fd_03TO85pTOCYa,oils_sauces_condiments
fd_03TPYNj8yDAm,bread_bakery
fd_03TTMBkJ2QnK,plant_based
fd_03UZCqHnrfOc,sweets
fd_03VTckuLGDVW,beverages
fd_03WoRdMz2Fld,snacks
fd_03Y4svWPmbVX,oils_sauces_condiments
fd_03YGvzGKwPS1,ready_meals
fd_03YgxOLgQuas,frozen
fd_03YhsvWzjeeS,frozen
fd_03ZE8wv1KfqM,canned_jarred
fd_03a2p9tRmXkq,snacks
fd_03aCUsgQ9TiK,beverages
fd_03bCjVDPnrmr,meat_poultry
fd_03bV9SxWFa6C,spices_seasonings
fd_03c8etT3wdId,canned_jarred
fd_03csgbbaZrsg,spices_seasonings
fd_03dAonSoiGBD,beverages
fd_03dcrdoLzOmL,sweets
fd_03dx38iavaSh,sweets
fd_03eMTBe60LjB,sweets
fd_03eNzJFM8stF,sweets
fd_03efpHTkLeNd,snacks
fd_03fr1MuMLh0a,pasta_rice_grains
fd_03hKvAhs1QcU,deli_cold_cuts
fd_03iYB2Mah2EA,dairy_eggs
fd_03jeD7Mv3u46,dairy_eggs
fd_03jxQxLbD9nh,pasta_rice_grains
fd_03kX3DDKA55V,plant_based
fd_03mPKNk0jCGg,other
fd_03mvHr9no4ic,breakfast_spreads
fd_03o0mrAjjvEh,ready_meals
fd_03oYqqFuwmjj,fish_seafood
fd_03oroe79HIzu,frozen
fd_03pnESyHSOSz,baking
fd_03qbHNPjKnBc,dairy_eggs
fd_03qg8oOUu9vW,oils_sauces_condiments
fd_03r09CnnbNG4,fruits_vegetables
fd_03rZ7omJseJQ,pasta_rice_grains
fd_03ruHumEVsT3,baking
fd_03snobh2LQuh,supplements
fd_03t0R53shb0L,spices_seasonings
fd_03tYFbXmOrUx,fruits_vegetables
fd_03utjyC15Nju,snacks
fd_03vbdvILqKQ1,frozen
fd_03whgryMwsit,oils_sauces_condiments
fd_03woOf7R9tUM,oils_sauces_condiments
fd_03xctKp69wEF,sweets
fd_03xmiRDw8fym,sweets
fd_03yvUmh62W6g,nuts_seeds_dried_fruit
fd_03zQhjsL4Naf,bread_bakery
fd_04089CVKEz0q,ready_meals
fd_040BDUPbzOMo,baking
fd_040rldx52Vab,sweets
fd_041SPLmUOmYW,deli_cold_cuts
fd_04200X8H1OKh,oils_sauces_condiments
fd_0429rEIKlsmG,nuts_seeds_dried_fruit
fd_042gYAeQbF5k,canned_jarred
fd_042rJTvlDlYb,sweets
fd_043E3HY948hi,snacks
fd_044m4KdO1dE2,snacks
fd_0464AJYXCqMr,beverages
fd_046B6RXei7AW,dairy_eggs
fd_047NEI4pQn52,deli_cold_cuts
fd_047cqGnuxFhU,oils_sauces_condiments
fd_048LiVd2VArJ,deli_cold_cuts
fd_048Z3uOZ5Unz,nuts_seeds_dried_fruit
fd_048alAV9Uhdd,canned_jarred
fd_049REwxKj0YM,dairy_eggs
fd_04BVsVgBc4Gi,sweets
fd_04BwbOLRfmF2,sweets
fd_04CqLZJa5Fsl,breakfast_spreads
fd_04DPqfHF3bFQ,sweets
fd_04Di9rQdbxZ0,bread_bakery
fd_04DlejuNpsx6,pasta_rice_grains
fd_04DpTJggTKdb,sweets
fd_04E5lxh3IzJ2,bread_bakery
fd_04ETEAYCZLs4,pasta_rice_grains
fd_04FFFWWXwC0Y,baking
fd_04GPWIZzMwvI,pasta_rice_grains
fd_04H9qKuCaWw1,snacks
fd_04IMFrwfvp4g,ready_meals
fd_04K5aZfmTAW8,ready_meals
fd_04MGcvjCbI55,frozen
fd_04MI7OT3vGrx,bread_bakery
fd_04N00Qqy2oSb,sweets
fd_04N0XJlKMPjW,oils_sauces_condiments
fd_04NGjCFslDzk,frozen
fd_04NqrSfz6g4s,nuts_seeds_dried_fruit
fd_04OfhNP2sAnN,breakfast_spreads
fd_04P5jYClbbSo,canned_jarred
fd_04PsVlJjGwdx,deli_cold_cuts
fd_04QthMv3ebNS,frozen
fd_04RF3gzblxFw,dairy_eggs
fd_04S78aBKv06R,other
fd_04SMZc2mEsHy,beverages
fd_04SZSsPmwOWp,ready_meals
fd_04SmeJQGqdJ7,frozen
fd_04TDScGv2PmX,sweets
fd_04UZd2HCnNDn,breakfast_spreads
fd_04VC2H81RnUW,frozen
fd_04Ww0ijwK7uh,canned_jarred
